Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,labels
2023-04-16 08:50:31:237411,-31.772727272727277,1.8863636363636365,1026.5454545454545,-31.52892561983471,361.1363636363636,730.2272727272727,-162.75,-162.75,-162.75,0.0
2023-04-16 08:50:31:247767,-31.59090909090909,2.25,1028.7727272727273,-9.364669421487603,345.22727272727275,731.8181818181819,-162.8181818181818,-162.8181818181818,-162.8181818181818,0.0
2023-04-16 08:50:31:263151,-31.318181818181817,2.386363636363636,1030.2045454545455,13.197314049586776,337.27272727272725,727.0454545454545,-162.75,-162.75,-162.75,0.0
2023-04-16 08:50:31:272183,-31.38636363636364,2.136363636363636,1030.7045454545455,35.75929752066116,343.6363636363636,723.8636363636364,-162.8409090909091,-162.8409090909091,-162.8409090909091,0.0
2023-04-16 08:50:31:287652,-32.27272727272727,3.4318181818181817,1032.2954545454545,58.538223140495866,340.45454545454544,722.2727272727273,-162.6818181818182,-162.6818181818182,-162.6818181818182,0.0
2023-04-16 08:50:31:303268,-31.84090909090909,1.818181818181818,1034.0454545454545,81.42561983471074,327.72727272727275,723.8636363636364,-162.52272727272728,-162.52272727272728,-162.52272727272728,0.0
2023-04-16 08:50:31:312138,-32.68181818181818,1.6363636363636365,1033.1363636363635,104.349173553719,348.40909090909093,728.6363636363636,-162.45454545454547,-162.45454545454547,-162.45454545454547,0.0
2023-04-16 08:50:31:327752,-34.04545454545455,1.1363636363636365,1032.6818181818182,126.76652892561984,362.7272727272728,739.7727272727273,-162.25,-162.25,-162.25,0.0
2023-04-16 08:50:31:338194,-34.45454545454545,1.2727272727272727,1033.5681818181818,149.61776859504133,348.40909090909093,755.6818181818181,-162.11363636363637,-162.11363636363637,-162.11363636363637,0.0
2023-04-16 08:50:31:352240,-33.65909090909091,1.6590909090909092,1035.8863636363635,172.8305785123967,338.8636363636364,770.0,-162.0,-162.0,-162.0,0.0
2023-04-16 08:50:31:367611,-33.68181818181818,2.909090909090909,1037.9772727272727,196.224173553719,340.45454545454544,776.3636363636364,-161.88636363636363,-161.88636363636363,-161.88636363636363,0.0
2023-04-16 08:50:31:378173,-33.54545454545455,3.886363636363636,1038.0,219.7262396694215,362.7272727272728,781.1363636363636,-161.70454545454547,-161.70454545454547,-161.70454545454547,0.0
2023-04-16 08:50:31:392113,-33.65909090909091,5.159090909090909,1038.1818181818182,243.01136363636363,370.6818181818182,787.5,-161.95454545454547,-161.95454545454547,-161.95454545454547,0.0
2023-04-16 08:50:31:402624,-33.68181818181818,3.636363636363636,1038.090909090909,265.754132231405,388.1818181818182,792.2727272727273,-162.0,-162.0,-162.0,0.0
2023-04-16 08:50:31:418260,-33.75,1.2045454545454546,1039.659090909091,288.5692148760331,392.95454545454544,800.2272727272727,-162.0681818181818,-162.0681818181818,-162.0681818181818,0.0
2023-04-16 08:50:31:432265,-33.86363636363637,1.5454545454545454,1039.6136363636365,311.8543388429752,418.4090909090909,814.5454545454545,-162.20454545454547,-162.20454545454547,-162.20454545454547,0.0
2023-04-16 08:50:31:442560,-32.86363636363637,1.681818181818182,1040.4318181818182,336.224173553719,431.1363636363636,827.2727272727273,-162.3409090909091,-162.3409090909091,-162.3409090909091,0.0
2023-04-16 08:50:31:458292,-33.68181818181818,2.863636363636364,1039.840909090909,361.823347107438,440.6818181818182,844.7727272727273,-162.27272727272728,-162.27272727272728,-162.27272727272728,0.0
2023-04-16 08:50:31:467210,-33.70454545454545,2.977272727272727,1037.8181818181818,387.8202479338843,461.3636363636364,857.5,-162.3181818181818,-162.3181818181818,-162.3181818181818,0.0
2023-04-16 08:50:31:482646,-33.95454545454545,3.409090909090909,1035.6136363636365,414.5041322314049,474.09090909090907,867.0454545454545,-162.11363636363637,-162.11363636363637,-162.11363636363637,0.0
2023-04-16 08:50:31:498143,-34.25,3.4545454545454546,1033.5681818181818,441.94731404958674,485.2272727272728,878.1818181818181,-162.27272727272728,-162.27272727272728,-162.27272727272728,0.0
2023-04-16 08:50:31:507302,-35.56818181818182,2.840909090909091,1031.1363636363635,470.0774793388429,491.59090909090907,889.3181818181819,-162.1818181818182,-162.1818181818182,-162.1818181818182,0.0
2023-04-16 08:50:31:522731,-35.97727272727273,1.9090909090909087,1030.2954545454545,498.930785123967,505.9090909090909,906.818181818182,-162.0681818181818,-162.0681818181818,-162.0681818181818,0.0
2023-04-16 08:50:31:533070,-36.0,2.909090909090909,1031.3181818181818,528.904958677686,490.0,927.5,-162.25,-162.25,-162.25,0.0
2023-04-16 08:50:31:547323,-37.13636363636363,2.4545454545454546,1031.3863636363635,559.1322314049587,507.5,946.5909090909092,-162.3181818181818,-162.3181818181818,-162.3181818181818,0.0
2023-04-16 08:50:31:562748,-36.36363636363637,3.0,1032.1818181818182,589.9380165289257,491.59090909090907,967.2727272727273,-162.36363636363637,-162.36363636363637,-162.36363636363637,0.0
2023-04-16 08:50:31:577875,-36.36363636363637,5.2727272727272725,1032.25,621.25,504.3181818181818,987.9545454545456,-162.20454545454547,-162.20454545454547,-162.20454545454547,0.0
2023-04-16 08:50:31:587315,-37.13636363636363,6.613636363636363,1030.909090909091,652.8512396694215,507.5,992.7272727272727,-162.27272727272728,-162.27272727272728,-162.27272727272728,0.0
